PROJECT;SEQUENCE;STEP;PIN0;PIN1;PIN3;PIN4;PIN5;PIN6;PIN8;PIN10;PIN11;PIN16;PIN17;PIN18;PIN20;PIN21;PIN22;PIN24;PIN25;PIN26;T0;T1;T3;T4;T5;T6;T8;T10;T11;T16;T17;T18;T20;T21;T22;T24;T25;T26;TMAX;TTOTAL;INFO1
Robusta;1;1;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Normal
Robusta;2;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 1
Robusta;2;2;-28,84;-25,47;-28,86;0,00;-81,75;-62,70;28,84;-25,47;-28,86;-9,16;-23,71;-12,92;0,00;-81,75;-62,70;9,16;-23,71;-12,92;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 1
Robusta;2;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 1
Robusta;2;4;-9,16;-23,71;-12,92;0,00;-81,75;-62,70;9,16;-23,71;-12,92;-28,84;-25,47;-28,86;0,00;-81,75;-62,70;28,84;-25,47;-28,86;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 1
Robusta;3;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 2
Robusta;3;2;-43,67;-24,57;-32,63;0,00;-81,75;-62,70;43,67;-24,57;-32,63;-3,00;-19,70;-0,64;0,00;-81,75;-62,70;3,00;-19,70;-0,64;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 2
Robusta;3;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 2
Robusta;3;4;-3,00;-19,70;-0,64;0,00;-81,75;-62,70;3,00;-19,70;-0,64;-43,67;-24,57;-32,63;0,00;-81,75;-62,70;43,67;-24,57;-32,63;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 2
Robusta;4;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 3
Robusta;4;2;-61,07;-24,09;-33,76;0,00;-81,75;-62,70;61,07;-24,09;-33,76;1,62;-13,07;15,08;0,00;-81,75;-62,70;-1,62;-13,07;15,08;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 3
Robusta;4;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 3
Robusta;4;4;1,62;-13,07;15,08;0,00;-81,75;-62,70;-1,62;-13,07;15,08;-61,07;-24,09;-33,76;0,00;-81,75;-62,70;61,07;-24,09;-33,76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 3
Robusta;5;1;-17,5;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;-17,50;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 4
Robusta;5;2;-69,90;-24,27;-33,36;0,00;-81,75;-62,70;69,90;-24,27;-33,36;3,52;-8,47;24,75;0,00;-81,75;-62,70;-3,52;-8,47;24,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 4
Robusta;5;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Maju 4
